,Closest City,Country Code,Latitude,Longitude,Temperature,Wind Speed,Humidity,Cloudiness
0,jand,pk,33.43,72.02,13.85,1.22,100.0,0.0
1,san lorenzo,ar,-24.73,-65.49,20.0,1.5,55.0,75.0
2,mosquera,co,4.71,-74.23,19.0,4.1,63.0,40.0
3,wajid,so,3.81,43.25,27.27,5.52,60.0,0.0
4,upernavik,gl,72.79,-56.15,-20.41,2.87,94.0,20.0
5,provideniya,ru,64.42,-173.23,-5.0,2.0,85.0,90.0
6,nagato,jp,34.35,131.14,10.0,1.5,87.0,0.0
7,price,us,39.6,-110.81,12.0,5.1,17.0,1.0
8,poum,nc,-20.23,164.02,27.1,8.82,100.0,80.0
9,washington,us,38.9,-77.04,7.0,2.97,64.0,90.0
10,pitsunda,ge,43.16,40.34,12.0,3.0,81.0,75.0
11,zmeyskaya,ru,43.34,44.16,7.0,3.0,87.0,0.0
12,ranong,th,9.96,98.62,26.97,2.72,100.0,20.0
13,hihya,eg,30.67,31.59,20.0,4.1,72.0,75.0
14,severo-yeniseyskiy,ru,60.37,93.04,-4.31,5.02,67.0,80.0
15,inhambane,mz,-23.87,35.38,25.37,6.47,94.0,92.0
16,durango,us,37.28,-107.88,11.0,5.7,70.0,90.0
17,vanavara,ru,60.35,102.28,-5.41,3.87,81.0,80.0
18,yatou,cn,33.81,104.32,2.0,0.72,69.0,32.0
19,bani walid,ly,31.76,14.0,10.0,6.47,77.0,20.0
20,kango,ga,0.19,10.1,26.0,1.17,83.0,100.0
22,storforshei,no,66.4,14.52,-5.0,1.0,92.0,75.0
24,mayo,ca,63.59,-135.9,-10.0,1.0,28.0,5.0
25,churapcha,ru,62.0,132.43,-11.56,4.82,63.0,36.0
27,beira,mz,-19.84,34.84,24.0,4.92,94.0,75.0
28,coquimbo,cl,-29.95,-71.34,15.0,4.6,82.0,75.0
29,qasigiannguit,gl,68.82,-51.19,-21.0,0.82,58.0,20.0
30,gunjur,gm,13.18,-16.76,23.0,3.6,64.0,0.0
31,lawrenceburg,us,35.24,-87.33,22.0,7.2,68.0,20.0
32,elbistan,tr,38.2,37.19,1.45,1.22,77.0,0.0
33,ampanihy,mg,-24.69,44.75,22.22,4.57,89.0,0.0
34,nikolskoye,ru,59.7,30.79,-8.0,2.0,78.0,0.0
35,victoria,sc,-4.62,55.45,26.0,1.5,78.0,36.0
36,canico,pt,32.63,-16.85,16.0,7.7,72.0,20.0
39,idlib,sy,35.93,36.64,12.0,0.5,81.0,0.0
40,kibre mengist,et,5.87,38.99,14.85,1.77,62.0,0.0
41,dhidhdhoo,mv,6.88,73.1,27.4,2.07,100.0,36.0
42,pizarro,co,4.95,-77.37,27.65,2.82,85.0,64.0
43,bowen,au,-20.01,148.25,26.0,5.1,78.0,90.0
44,barra do bugres,br,-15.07,-57.19,25.37,1.87,90.0,48.0
45,evinayong,gq,1.44,10.55,21.22,1.07,97.0,76.0
46,sapa,ph,14.32,120.76,24.0,3.57,100.0,90.0
47,winnemucca,us,40.97,-117.74,13.0,3.6,35.0,1.0
48,doka,sd,13.52,35.76,27.5,3.67,29.0,12.0
49,bandarbeyla,so,9.49,50.81,26.2,5.57,100.0,0.0
50,san juan bautista,py,-26.67,-57.15,23.95,0.42,68.0,80.0
51,gympie,au,-26.2,152.66,20.87,3.12,98.0,88.0
52,santa marinella,it,42.04,11.87,9.0,2.1,87.0,40.0
53,perris,us,33.78,-117.23,25.0,8.7,11.0,20.0
55,kirkuk,iq,35.47,44.4,16.1,1.47,65.0,32.0
56,farah,af,32.37,62.11,15.45,1.12,43.0,0.0
57,herat,af,34.35,62.22,15.0,1.37,58.0,0.0
58,pechenga,ru,58.89,41.46,-16.53,1.32,58.0,0.0
59,fukue,jp,35.03,136.69,10.0,2.1,87.0,0.0
61,xai-xai,mz,-25.04,33.64,24.22,4.47,100.0,0.0
62,kalawit,ph,7.91,122.53,20.2,1.72,89.0,8.0
63,baghdad,iq,33.3,44.38,23.0,3.1,33.0,88.0
64,rochester,us,44.02,-92.46,7.0,3.6,100.0,1.0
65,gladstone,au,-23.84,151.26,23.0,6.12,88.0,0.0
66,kloulklubed,pw,7.04,134.26,27.0,2.6,88.0,90.0
67,apatou,gf,5.16,-54.35,25.8,2.17,84.0,80.0
68,formosa,br,-15.55,-47.33,25.47,2.12,54.0,92.0
69,abonnema,ng,4.71,6.79,27.0,1.5,94.0,40.0
70,tsiroanomandidy,mg,-18.77,46.05,16.72,0.97,84.0,0.0
71,sylacauga,us,33.17,-86.25,21.0,3.6,68.0,90.0
